epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.5853,3.11441,10.2446,2.60704,0.00102,0.30488,0.00555,0.00229,3.15222,14.3804,2.82019,0.000649573,0.000649573,0.000649573
2,37.2451,2.97246,7.97769,2.54283,0.74133,0.24468,0.34847,0.20023,3.00787,12.8801,3.03935,0.00129886,0.00129886,0.00129886
3,48.3729,3.0588,6.71528,2.60615,0.56257,0.46341,0.47309,0.22046,3.34073,7.18633,3.13991,0.00193056,0.00193056,0.00193056
4,59.3494,2.99719,5.63887,2.65022,0.4425,0.5227,0.44503,0.23066,3.02264,6.96971,2.96955,0.0019208,0.0019208,0.0019208
5,70.2178,2.99074,4.64152,2.62479,0.38478,0.5122,0.42657,0.22987,3.15665,5.47701,2.84242,0.0018944,0.0018944,0.0018944
6,81.2852,2.94152,4.00257,2.55889,0.52112,0.69512,0.59545,0.36361,2.87066,4.04186,2.70273,0.001868,0.001868,0.001868
7,92.2836,2.90654,3.53536,2.55078,0.60558,0.46341,0.56665,0.31672,3.03923,4.49629,2.86775,0.0018416,0.0018416,0.0018416
8,103.459,2.97424,3.31202,2.57748,0.7189,0.5614,0.66228,0.41654,2.80128,2.68677,2.71954,0.0018152,0.0018152,0.0018152
9,114.458,2.90007,3.09604,2.5679,0.65486,0.62478,0.68589,0.35118,2.95604,2.73892,2.64093,0.0017888,0.0017888,0.0017888
10,125.421,2.84823,2.83907,2.45018,0.71562,0.67073,0.74949,0.43042,2.69717,3.46342,2.58612,0.0017624,0.0017624,0.0017624
11,136.514,2.77541,2.65393,2.49081,0.67986,0.70732,0.7695,0.46934,2.70606,2.33408,2.56901,0.001736,0.001736,0.001736
12,147.558,2.72154,2.42145,2.41346,0.65865,0.71951,0.7169,0.38591,2.93502,2.30997,2.69054,0.0017096,0.0017096,0.0017096
13,158.639,2.6798,2.4035,2.41385,0.75719,0.80488,0.87061,0.52515,2.84323,1.80503,2.64523,0.0016832,0.0016832,0.0016832
14,169.618,2.64955,2.2961,2.39495,0.68709,0.74982,0.80866,0.45153,3.08105,2.12447,2.57793,0.0016568,0.0016568,0.0016568
15,180.706,2.65482,2.2906,2.39748,0.78532,0.7138,0.79665,0.5073,2.67452,1.98018,2.50127,0.0016304,0.0016304,0.0016304
