               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10374,            0.021951,                   0,           0.0018699,             0.56098,           0.0025187,          0.00066199,             0.08384,            0.011954,                   0,            0.070194,           0.0033118,           0.0033118
                   1,             0.07832,            0.017195,                   0,           0.0093956,             0.87805,             0.30193,            0.095803,            0.066494,           0.0085369,                   0,            0.040106,           0.0065574,           0.0065574
                   2,            0.065379,            0.015645,                   0,            0.003252,             0.97561,             0.55084,             0.23842,             0.05553,           0.0086781,                   0,           0.0099301,           0.0097151,           0.0097151
                   3,            0.057234,            0.016678,                   0,              0.7293,             0.36147,             0.59519,             0.23447,            0.047625,            0.008167,                   0,            0.009604,            0.009604,            0.009604
                   4,            0.049587,            0.014841,                   0,             0.67166,             0.42683,             0.59136,             0.20013,            0.050884,           0.0072548,                   0,            0.009604,            0.009604,            0.009604
                   5,            0.045887,            0.013366,                   0,             0.81027,             0.72916,             0.84564,             0.42353,             0.03842,             0.00673,                   0,            0.009472,            0.009472,            0.009472
                   6,             0.04255,            0.011548,                   0,             0.77112,             0.82177,             0.86155,             0.35962,            0.037106,           0.0058601,                   0,             0.00934,             0.00934,             0.00934
                   7,            0.040144,            0.010578,                   0,             0.80334,             0.87805,             0.88805,             0.39599,            0.039465,           0.0051508,                   0,            0.009208,            0.009208,            0.009208
                   8,            0.039846,           0.0092812,                   0,             0.84236,             0.91234,              0.9172,             0.58516,            0.029393,           0.0046862,                   0,            0.009076,            0.009076,            0.009076
                   9,            0.038868,           0.0085798,                   0,             0.88742,             0.86515,             0.93267,              0.3657,            0.039947,           0.0044502,                   0,            0.008944,            0.008944,            0.008944
                  10,            0.036705,           0.0081073,                   0,             0.86991,             0.90244,             0.94836,             0.50558,            0.031331,           0.0042802,                   0,            0.008812,            0.008812,            0.008812
                  11,            0.036012,            0.008489,                   0,             0.82726,             0.87608,             0.92319,             0.47103,            0.038196,           0.0041879,                   0,             0.00868,             0.00868,             0.00868
