epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.486,1.53129,3.89899,1.32908,0.05912,0.7439,0.05466,0.03297,1.32882,15.8226,1.22917,0.000649573,0.000649573,0.000649573
2,95.4894,1.46302,1.39748,1.26972,0.46462,0.42683,0.44018,0.23695,1.82929,2.36519,1.66469,0.00130321,0.00130321,0.00130321
3,136.514,1.5125,1.45976,1.32298,0.09084,0.19512,0.0784,0.03242,2.5243,11.5828,7.7538,0.00194364,0.00194364,0.00194364
4,179.226,1.54636,1.38163,1.39015,0.62123,0.2561,0.28307,0.1483,1.8505,12.8648,1.75353,0.0019406,0.0019406,0.0019406
5,221.21,1.4505,1.24553,1.30165,0.81565,0.70146,0.79113,0.39143,1.67097,1.31549,1.60508,0.0019208,0.0019208,0.0019208
6,261.286,1.4324,1.22274,1.31065,0.63993,0.56098,0.59585,0.3245,1.61503,1.9111,1.53221,0.001901,0.001901,0.001901
7,312.689,1.44705,1.20677,1.33547,0.78216,0.78819,0.81705,0.4384,1.49501,1.45365,1.4302,0.0018812,0.0018812,0.0018812
8,355.255,1.41279,1.09162,1.2854,0.81738,0.71951,0.82393,0.44686,1.55417,1.29658,1.35878,0.0018614,0.0018614,0.0018614
9,396.275,1.366,1.10254,1.25184,0.65757,0.78049,0.76568,0.45581,1.30297,1.79104,1.24895,0.0018416,0.0018416,0.0018416
10,436.756,1.34875,1.0658,1.26537,0.847,0.90244,0.88091,0.56232,1.24318,0.90288,1.26701,0.0018218,0.0018218,0.0018218
11,477.034,1.30432,1.03406,1.23537,0.83637,0.78049,0.85828,0.45905,1.53773,1.0963,1.36755,0.001802,0.001802,0.001802
12,518.311,1.29314,1.02703,1.21934,0.93176,0.83264,0.93258,0.56378,1.31499,0.93973,1.28172,0.0017822,0.0017822,0.0017822
13,559.913,1.24686,0.96117,1.21838,0.88916,0.84146,0.87226,0.52103,1.48303,0.92378,1.36722,0.0017624,0.0017624,0.0017624
14,600.97,1.24053,0.93139,1.20591,0.87823,0.87959,0.95007,0.64208,1.15535,0.81727,1.17043,0.0017426,0.0017426,0.0017426
15,641.945,1.27197,0.93371,1.21064,0.82648,0.87132,0.88578,0.56436,1.32668,0.95986,1.26125,0.0017228,0.0017228,0.0017228
