epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.5788,3.1155,10.2678,2.6082,0.0024,0.71951,0.09836,0.05282,2.85849,13.9252,2.47394,0.000649573,0.000649573,0.000649573
2,36.2638,2.98443,8.14079,2.58234,0.7128,0.12112,0.28641,0.12278,3.21695,17.2389,2.71972,0.00129018,0.00129018,0.00129018
3,47.3555,3.03533,6.77672,2.58171,0.49198,0.18293,0.21752,0.10007,3.7121,8.99043,3.65033,0.00190438,0.00190438,0.00190438
4,58.4415,3.04906,5.71714,2.6487,0.2754,0.16228,0.14982,0.07908,4.36655,8.52214,4.03358,0.0018812,0.0018812,0.0018812
5,69.6196,3.06312,4.69396,2.62584,0.55595,0.46341,0.49688,0.25606,3.30645,4.57818,2.88921,0.0018416,0.0018416,0.0018416
6,80.5177,2.8906,4.0353,2.51747,0.62485,0.57317,0.58525,0.35936,2.86184,5.87059,2.62193,0.001802,0.001802,0.001802
7,91.5294,2.93086,3.5211,2.5146,0.66316,0.59756,0.67966,0.4171,2.83793,2.87034,2.78111,0.0017624,0.0017624,0.0017624
8,102.365,2.96418,3.30462,2.54323,0.54053,0.64634,0.6283,0.34774,3.16392,3.14546,2.96253,0.0017228,0.0017228,0.0017228
9,113.277,2.88134,3.14053,2.50991,0.64655,0.59756,0.65662,0.37229,3.03534,3.19765,2.68159,0.0016832,0.0016832,0.0016832
10,124.141,2.81564,2.8611,2.4538,0.76155,0.62318,0.7469,0.42877,2.87436,2.74584,2.66224,0.0016436,0.0016436,0.0016436
11,135.008,2.79697,2.7214,2.44699,0.65322,0.75809,0.73026,0.46548,2.86538,2.14139,2.65317,0.001604,0.001604,0.001604
12,145.825,2.6938,2.51538,2.36397,0.63791,0.79495,0.77332,0.43064,3.05706,2.20453,2.68795,0.0015644,0.0015644,0.0015644
13,156.77,2.64422,2.41524,2.34674,0.73297,0.63415,0.73176,0.4484,2.81242,2.25442,2.64717,0.0015248,0.0015248,0.0015248
14,167.866,2.62967,2.30167,2.33273,0.78361,0.68293,0.84132,0.50384,2.78145,2.21932,2.53452,0.0014852,0.0014852,0.0014852
15,178.883,2.62681,2.28978,2.35686,0.78501,0.75698,0.84879,0.56034,2.50843,1.71023,2.42821,0.0014456,0.0014456,0.0014456
16,189.697,2.58566,2.17619,2.33963,0.70749,0.80488,0.83168,0.48781,2.87838,1.95206,2.5337,0.001406,0.001406,0.001406
17,200.52,2.56283,2.16642,2.3307,0.79722,0.69512,0.86428,0.47874,2.86793,1.8365,2.4514,0.0013664,0.0013664,0.0013664
