epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.6598,3.13069,10.2902,2.59386,0.00215,0.64634,0.08984,0.03501,2.9683,13.9935,2.53688,0.000649573,0.000649573,0.000649573
2,37.6047,2.99279,8.07757,2.60812,0.01307,0.26829,0.11861,0.07424,3.65977,14.8902,3.39156,0.00130321,0.00130321,0.00130321
3,48.7453,3.03226,6.6748,2.57957,0.14191,0.07317,0.05196,0.02968,4.47617,16.6599,3.92138,0.00194364,0.00194364,0.00194364
4,59.8271,2.98099,5.71662,2.62453,0.44996,0.5,0.44427,0.21416,3.17222,8.38768,2.82295,0.0019406,0.0019406,0.0019406
5,70.9689,3.00537,4.66696,2.61064,0.40197,0.6394,0.50354,0.25829,3.17563,5.22026,2.99116,0.0019208,0.0019208,0.0019208
6,82.0132,2.99161,4.01058,2.60522,0.54217,0.52439,0.5147,0.27637,3.14659,4.03032,2.79791,0.001901,0.001901,0.001901
7,92.9629,2.96773,3.52752,2.58649,0.49823,0.46341,0.47693,0.2615,3.11617,4.00503,2.99308,0.0018812,0.0018812,0.0018812
8,103.949,3.01733,3.32094,2.58716,0.52669,0.65854,0.63429,0.36124,2.96274,2.82538,2.81654,0.0018614,0.0018614,0.0018614
9,115.18,2.85626,3.02693,2.55159,0.71068,0.57317,0.71647,0.39185,3.00969,2.42274,2.81018,0.0018416,0.0018416,0.0018416
10,126.273,2.81256,2.70443,2.48294,0.60651,0.7561,0.68092,0.42035,2.44296,2.50799,2.57617,0.0018218,0.0018218,0.0018218
11,137.598,2.78773,2.6589,2.54838,0.63751,0.64634,0.66994,0.42506,2.81117,2.89087,2.84138,0.001802,0.001802,0.001802
12,148.823,2.7465,2.50947,2.43416,0.62651,0.71602,0.66976,0.3779,2.95283,2.56165,2.79465,0.0017822,0.0017822,0.0017822
13,160.067,2.69369,2.42341,2.44636,0.64796,0.79268,0.69017,0.44141,2.51886,2.01803,2.5392,0.0017624,0.0017624,0.0017624
14,171.274,2.61925,2.30887,2.41803,0.71537,0.78049,0.7511,0.4172,2.96239,2.38816,2.65505,0.0017426,0.0017426,0.0017426
15,182.491,2.66343,2.28602,2.46292,0.68672,0.70732,0.68281,0.44066,2.68178,2.63152,2.69978,0.0017228,0.0017228,0.0017228
16,193.725,2.66692,2.2378,2.4418,0.66126,0.76829,0.77668,0.45724,2.93787,2.05243,2.69673,0.001703,0.001703,0.001703
17,205.028,2.64359,2.30141,2.41152,0.76368,0.76829,0.84521,0.51334,2.72847,1.96893,2.51729,0.0016832,0.0016832,0.0016832
18,216.114,2.621,2.15398,2.3922,0.70776,0.78049,0.76266,0.37737,3.26972,2.08185,2.6517,0.0016634,0.0016634,0.0016634
19,227.334,2.68624,2.23454,2.43099,0.84388,0.7561,0.85758,0.54196,2.57168,1.83133,2.50387,0.0016436,0.0016436,0.0016436
20,238.346,2.60852,2.1225,2.3807,0.87919,0.80488,0.8782,0.51096,3.04209,1.73959,2.58919,0.0016238,0.0016238,0.0016238
21,249.382,2.56392,1.96197,2.37904,0.81818,0.80488,0.85074,0.54978,2.72965,1.71098,2.58975,0.001604,0.001604,0.001604
22,260.301,2.49233,2.0004,2.33982,0.68871,0.85366,0.85219,0.52462,2.6701,1.91622,2.53847,0.0015842,0.0015842,0.0015842
23,271.424,2.55948,2.03066,2.35019,0.70583,0.84146,0.84809,0.53193,2.64999,1.78751,2.60319,0.0015644,0.0015644,0.0015644
24,282.577,2.55022,1.96453,2.36485,0.78131,0.7407,0.80601,0.46428,2.80244,2.34295,2.62713,0.0015446,0.0015446,0.0015446
25,293.668,2.51267,1.96411,2.31846,0.78844,0.81807,0.85701,0.59858,2.37736,1.60716,2.45099,0.0015248,0.0015248,0.0015248
26,304.65,2.435,1.8694,2.32559,0.76091,0.81506,0.86514,0.54061,2.80167,1.56799,2.56126,0.001505,0.001505,0.001505
27,315.754,2.52564,1.91952,2.33562,0.765,0.86585,0.84051,0.50151,2.91065,1.72838,2.54991,0.0014852,0.0014852,0.0014852
