epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.4324,1.54767,3.9,1.33561,0.20786,0.73171,0.1915,0.1174,1.32849,8.23449,1.26125,0.000649573,0.000649573,0.000649573
2,55.5188,1.45903,1.44535,1.28435,0.20464,0.5122,0.20774,0.1003,1.86183,6.85949,1.70263,0.00129018,0.00129018,0.00129018
3,80.3776,1.48228,1.40077,1.33353,0.01252,0.20732,0.00475,0.00165,2.73855,41.7686,2.47663,0.00190438,0.00190438,0.00190438
4,106.353,1.51001,1.36872,1.35351,0.63853,0.56011,0.57881,0.27652,1.76749,2.76573,1.72529,0.0018812,0.0018812,0.0018812
5,130.861,1.3934,1.17202,1.2669,0.52123,0.56098,0.53221,0.27206,1.85222,2.73676,1.64219,0.0018416,0.0018416,0.0018416
6,156.455,1.39441,1.16938,1.29889,0.7352,0.68293,0.71841,0.43823,1.32033,1.51366,1.3103,0.001802,0.001802,0.001802
7,188.108,1.43508,1.19549,1.33606,0.82339,0.62547,0.75931,0.43123,1.42108,1.63656,1.40604,0.0017624,0.0017624,0.0017624
8,213.782,1.37642,1.0749,1.25589,0.78496,0.8013,0.87384,0.51549,1.44948,1.16364,1.30248,0.0017228,0.0017228,0.0017228
9,238,1.34148,1.09755,1.25274,0.83762,0.78049,0.83237,0.49063,1.34694,1.21692,1.35089,0.0016832,0.0016832,0.0016832
10,262.29,1.32849,1.06531,1.24236,0.84909,0.892,0.90935,0.50555,1.53197,0.98302,1.34827,0.0016436,0.0016436,0.0016436
11,286.487,1.26901,0.97587,1.21965,0.8905,0.80488,0.88957,0.47323,1.59567,1.02762,1.37811,0.001604,0.001604,0.001604
12,312.152,1.26083,0.97577,1.19432,0.89772,0.84146,0.92351,0.56339,1.36485,0.88604,1.30485,0.0015644,0.0015644,0.0015644
13,338.272,1.24296,0.937,1.19265,0.8255,0.90244,0.89017,0.50138,1.44604,0.91043,1.28852,0.0015248,0.0015248,0.0015248
14,362.629,1.23204,0.9446,1.19891,0.88566,0.85015,0.91686,0.60705,1.2044,0.82478,1.21787,0.0014852,0.0014852,0.0014852
15,387.374,1.24317,0.92815,1.20361,0.82341,0.90984,0.91198,0.56883,1.32782,0.9216,1.30173,0.0014456,0.0014456,0.0014456
16,411.602,1.18501,0.89631,1.16625,0.86909,0.89024,0.92395,0.57207,1.36189,0.8866,1.23594,0.001406,0.001406,0.001406
17,436.393,1.1674,0.86172,1.16856,0.89309,0.87805,0.92979,0.52862,1.45427,0.91249,1.36139,0.0013664,0.0013664,0.0013664
18,461.947,1.18196,0.87601,1.16025,0.83723,0.90244,0.92182,0.60517,1.19226,0.92029,1.17664,0.0013268,0.0013268,0.0013268
19,490.788,1.17237,0.82446,1.15068,0.83676,0.93902,0.947,0.61436,1.28223,0.75184,1.23052,0.0012872,0.0012872,0.0012872
20,515.923,1.16749,0.81436,1.1488,0.8447,0.92864,0.94414,0.63973,1.27669,0.76282,1.2477,0.0012476,0.0012476,0.0012476
21,540.726,1.1574,0.80785,1.14031,0.89909,0.86932,0.94939,0.64359,1.13819,0.777,1.15512,0.001208,0.001208,0.001208
22,565.409,1.19464,0.82256,1.17229,0.91009,0.90244,0.94465,0.59231,1.15153,0.77015,1.14211,0.0011684,0.0011684,0.0011684
23,590.43,1.17032,0.83744,1.13566,0.89432,0.92885,0.96145,0.61519,1.32991,0.80165,1.22218,0.0011288,0.0011288,0.0011288
24,616.062,1.1235,0.79277,1.1318,0.89339,0.90244,0.94836,0.60131,1.28103,0.7453,1.19755,0.0010892,0.0010892,0.0010892
25,641.543,1.11301,0.76194,1.10717,0.86043,0.93902,0.95235,0.58487,1.34678,0.83144,1.25452,0.0010496,0.0010496,0.0010496
26,666.188,1.09895,0.76404,1.12175,0.89484,0.934,0.96661,0.6465,1.16138,0.72032,1.16168,0.00101,0.00101,0.00101
27,690.44,1.06032,0.71885,1.1029,0.86158,0.92683,0.94609,0.64679,1.09887,0.70684,1.13444,0.0009704,0.0009704,0.0009704
28,714.55,1.14178,0.76546,1.13676,0.92594,0.91488,0.96044,0.64079,1.21675,0.71491,1.18251,0.0009308,0.0009308,0.0009308
29,738.936,1.08379,0.73874,1.10137,0.88113,0.904,0.95881,0.62233,1.20808,0.72731,1.16841,0.0008912,0.0008912,0.0008912
30,764.262,1.09725,0.72765,1.09272,0.89506,0.93618,0.96599,0.61411,1.27184,0.70005,1.18589,0.0008516,0.0008516,0.0008516
31,789.588,1.06,0.69903,1.08975,0.85293,0.92683,0.95025,0.60554,1.23444,0.71377,1.16568,0.000812,0.000812,0.000812
32,813.803,1.05049,0.68577,1.09901,0.90397,0.91846,0.96217,0.63512,1.22797,0.70227,1.14581,0.0007724,0.0007724,0.0007724
33,837.937,1.03891,0.67865,1.08264,0.93617,0.92683,0.96106,0.65439,1.18989,0.641,1.15897,0.0007328,0.0007328,0.0007328
34,862.24,1.05113,0.70755,1.08576,0.95604,0.87805,0.97226,0.66603,1.1977,0.62415,1.15493,0.0006932,0.0006932,0.0006932
35,887.053,1.02198,0.67087,1.05544,0.88932,0.95122,0.96436,0.6409,1.22828,0.62133,1.16667,0.0006536,0.0006536,0.0006536
36,912.405,0.98574,0.66932,1.03381,0.90315,0.96341,0.9648,0.61493,1.33023,0.68822,1.1785,0.000614,0.000614,0.000614
37,939.952,0.98062,0.62913,1.05757,0.90453,0.96341,0.96847,0.64471,1.20457,0.64333,1.14489,0.0005744,0.0005744,0.0005744
38,964.365,1.00932,0.64966,1.05479,0.883,0.96341,0.91162,0.59828,1.21914,0.66801,1.1306,0.0005348,0.0005348,0.0005348
39,988.974,0.98898,0.63266,1.04417,0.88763,0.96341,0.97036,0.66638,1.17864,0.6199,1.12664,0.0004952,0.0004952,0.0004952
40,1013.22,0.97576,0.60226,1.04378,0.908,0.9629,0.94906,0.62117,1.24508,0.62688,1.13757,0.0004556,0.0004556,0.0004556
41,1035.21,0.91184,0.51756,1.03315,0.90698,0.96341,0.95787,0.63449,1.2781,0.63173,1.15231,0.000416,0.000416,0.000416
42,1057.35,0.89338,0.50929,1.02718,0.90612,0.96341,0.94704,0.64661,1.14656,0.59445,1.12511,0.0003764,0.0003764,0.0003764
43,1080.1,0.86334,0.49033,1.02384,0.92876,0.95395,0.96558,0.66076,1.20248,0.57273,1.16225,0.0003368,0.0003368,0.0003368
44,1102.3,0.86451,0.49517,1.01205,0.91889,0.96716,0.94992,0.64841,1.16969,0.57684,1.1412,0.0002972,0.0002972,0.0002972
45,1124.26,0.87335,0.47561,1.007,0.94189,0.96341,0.96345,0.6478,1.20838,0.57058,1.1407,0.0002576,0.0002576,0.0002576
46,1146.18,0.84694,0.46351,1.01296,0.92932,0.96209,0.97092,0.66764,1.19547,0.5561,1.13903,0.000218,0.000218,0.000218
47,1168.25,0.83897,0.4573,0.99806,0.90848,0.96851,0.97241,0.69609,1.14272,0.53701,1.11656,0.0001784,0.0001784,0.0001784
48,1190.43,0.82785,0.44858,0.98664,0.9193,0.97246,0.96964,0.67344,1.21266,0.53899,1.15519,0.0001388,0.0001388,0.0001388
49,1212.39,0.81583,0.44479,0.98757,0.92953,0.96517,0.97137,0.68646,1.17424,0.53169,1.1284,9.92e-05,9.92e-05,9.92e-05
50,1234.66,0.80407,0.43836,0.9768,0.93224,0.96341,0.97233,0.6901,1.14794,0.53579,1.12697,5.96e-05,5.96e-05,5.96e-05
