epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.0827,1.54954,3.90001,1.33031,0.04861,0.56098,0.042,0.02372,1.54558,26.4405,1.36887,0.000649573,0.000649573,0.000649573
2,55.1212,1.43375,1.40688,1.2777,0.20147,0.20732,0.1234,0.05875,2.07016,5.85347,1.87056,0.00129886,0.00129886,0.00129886
3,79.9767,1.50745,1.39011,1.31529,0.11829,0.09756,0.02906,0.00837,3.28537,4.27082,2.72146,0.00193056,0.00193056,0.00193056
4,105.76,1.50156,1.3947,1.35876,0.03266,0.02439,0.00187,0.00087,3.93699,4.93807,4.99927,0.0019208,0.0019208,0.0019208
5,130.124,1.43286,1.22676,1.25429,0.60006,0.46341,0.48302,0.26802,1.89539,2.20184,1.8388,0.0018944,0.0018944,0.0018944
6,154.843,1.42181,1.20989,1.31128,0.76191,0.7561,0.78808,0.50514,1.36666,1.44448,1.39991,0.001868,0.001868,0.001868
7,187.693,1.46448,1.17611,1.32038,0.67765,0.6666,0.73151,0.41572,1.50303,1.40821,1.37037,0.0018416,0.0018416,0.0018416
8,213.565,1.38305,1.10344,1.26094,0.58739,0.65972,0.71082,0.39291,1.39025,1.91243,1.34983,0.0018152,0.0018152,0.0018152
9,237.983,1.33467,1.08177,1.25439,0.87451,0.82927,0.87132,0.54463,1.36261,0.99871,1.28515,0.0017888,0.0017888,0.0017888
10,263.031,1.32814,1.01396,1.24661,0.80345,0.89737,0.90446,0.53347,1.45773,1.02417,1.33839,0.0017624,0.0017624,0.0017624
11,287.801,1.29141,0.99261,1.21755,0.0425,0.59756,0.03481,0.01646,1.88101,10.8031,1.85517,0.001736,0.001736,0.001736
12,313.273,1.2946,1.04531,1.22716,0.78746,0.81333,0.85994,0.54068,1.30797,1.02551,1.27051,0.0017096,0.0017096,0.0017096
13,338.186,1.24956,0.97116,1.20903,0.81754,0.71038,0.74424,0.42513,1.46941,1.28837,1.40328,0.0016832,0.0016832,0.0016832
14,362.927,1.2575,0.93703,1.19996,0.86522,0.86585,0.92739,0.61096,1.24227,0.90048,1.20369,0.0016568,0.0016568,0.0016568
15,388.075,1.2772,0.92472,1.20407,0.86383,0.90244,0.90997,0.53674,1.39559,1.011,1.27283,0.0016304,0.0016304,0.0016304
16,412.71,1.2189,0.91489,1.17028,0.84396,0.86585,0.90991,0.54413,1.42315,0.90027,1.27168,0.001604,0.001604,0.001604
17,437.726,1.17347,0.83786,1.15988,0.85574,0.91463,0.92825,0.52118,1.4255,0.90032,1.28045,0.0015776,0.0015776,0.0015776
18,463.882,1.21286,0.9122,1.1733,0.85845,0.88756,0.92716,0.58516,1.30657,0.88803,1.25225,0.0015512,0.0015512,0.0015512
19,488.94,1.18121,0.88339,1.15798,0.84804,0.90244,0.94352,0.58737,1.28949,0.81779,1.22013,0.0015248,0.0015248,0.0015248
20,513.639,1.20607,0.88019,1.16011,0.83662,0.90244,0.91173,0.57928,1.30222,0.85494,1.20108,0.0014984,0.0014984,0.0014984
21,538.162,1.2131,0.86519,1.16095,0.90538,0.93359,0.94829,0.63471,1.22807,0.94259,1.19453,0.001472,0.001472,0.001472
22,563.029,1.21924,0.85891,1.1848,0.84229,0.91183,0.92732,0.58607,1.14339,0.80755,1.12862,0.0014456,0.0014456,0.0014456
23,588.052,1.20259,0.87247,1.15639,0.86028,0.91463,0.9516,0.59323,1.26763,0.80209,1.15375,0.0014192,0.0014192,0.0014192
24,614.297,1.1592,0.82021,1.14311,0.88245,0.91551,0.96774,0.60707,1.31147,0.72766,1.17503,0.0013928,0.0013928,0.0013928
25,642.625,1.14436,0.79942,1.11774,0.87396,0.93022,0.95638,0.60015,1.29888,0.91312,1.22406,0.0013664,0.0013664,0.0013664
26,668.216,1.14277,0.79821,1.14851,0.85229,0.90244,0.93513,0.60413,1.18133,0.80665,1.16859,0.00134,0.00134,0.00134
27,692.759,1.11428,0.74142,1.14375,0.85599,0.93902,0.90824,0.58336,1.25599,0.80751,1.17613,0.0013136,0.0013136,0.0013136
28,716.945,1.15914,0.81163,1.16087,0.89016,0.96341,0.96488,0.66082,1.09876,0.70567,1.10175,0.0012872,0.0012872,0.0012872
29,741.341,1.15187,0.79085,1.1232,0.86586,0.94468,0.96345,0.59898,1.33021,0.71992,1.17744,0.0012608,0.0012608,0.0012608
30,767.145,1.13727,0.77366,1.10694,0.90379,0.91647,0.96758,0.61512,1.33547,0.72201,1.20432,0.0012344,0.0012344,0.0012344
31,798.164,1.10505,0.75587,1.11345,0.8875,0.93902,0.94683,0.60649,1.26815,0.7187,1.1683,0.001208,0.001208,0.001208
32,823.011,1.07881,0.73642,1.11353,0.88376,0.96341,0.9694,0.6031,1.24825,0.72886,1.15635,0.0011816,0.0011816,0.0011816
33,847.321,1.08253,0.73707,1.10471,0.91595,0.93036,0.97274,0.6738,1.10111,0.68418,1.1141,0.0011552,0.0011552,0.0011552
34,872.044,1.10525,0.74862,1.12032,0.90847,0.95122,0.96779,0.67586,1.11359,0.67197,1.13738,0.0011288,0.0011288,0.0011288
35,896.772,1.07992,0.7034,1.09777,0.89395,0.95122,0.96248,0.64923,1.19365,0.67815,1.16953,0.0011024,0.0011024,0.0011024
36,922.859,1.05154,0.73748,1.06399,0.88624,0.95009,0.9549,0.62487,1.28577,0.71673,1.20396,0.001076,0.001076,0.001076
37,949.212,1.02282,0.68327,1.07787,0.85791,0.93902,0.95259,0.59452,1.2724,0.76579,1.20157,0.0010496,0.0010496,0.0010496
38,973.974,1.0816,0.7058,1.09442,0.87638,0.95099,0.95366,0.62922,1.24656,0.70402,1.16615,0.0010232,0.0010232,0.0010232
39,999.072,1.05794,0.69204,1.09164,0.88008,0.96341,0.96931,0.64656,1.21226,0.66688,1.14107,0.0009968,0.0009968,0.0009968
40,1024.59,1.05235,0.66008,1.07741,0.89328,0.9187,0.94398,0.62097,1.22245,0.70255,1.13702,0.0009704,0.0009704,0.0009704
41,1049.46,1.02441,0.67054,1.06932,0.93578,0.88858,0.97592,0.63285,1.2658,0.65673,1.16445,0.000944,0.000944,0.000944
42,1075.62,1.05326,0.69752,1.09857,0.87798,0.95122,0.9697,0.67716,1.05787,0.58884,1.07773,0.0009176,0.0009176,0.0009176
43,1101,1.00746,0.63638,1.06318,0.87766,0.96238,0.95941,0.66482,1.0488,0.61098,1.06458,0.0008912,0.0008912,0.0008912
44,1125.76,1.03398,0.66207,1.07603,0.91631,0.93469,0.97219,0.67957,1.09205,0.63033,1.08883,0.0008648,0.0008648,0.0008648
45,1150.26,1.00156,0.65554,1.05252,0.86592,0.96341,0.97156,0.62306,1.29208,0.64991,1.17316,0.0008384,0.0008384,0.0008384
46,1175.29,0.98666,0.65019,1.06023,0.91132,0.93902,0.97471,0.63793,1.28879,0.66616,1.14217,0.000812,0.000812,0.000812
47,1200.28,1.00638,0.65177,1.06051,0.87625,0.94985,0.96974,0.64482,1.26084,0.64212,1.14105,0.0007856,0.0007856,0.0007856
48,1225.55,1.00282,0.62269,1.06856,0.85302,0.95122,0.9675,0.62292,1.25879,0.65636,1.1565,0.0007592,0.0007592,0.0007592
49,1250.5,0.98001,0.63303,1.0582,0.88865,0.97325,0.97075,0.63399,1.20711,0.67271,1.11716,0.0007328,0.0007328,0.0007328
50,1275.49,0.98631,0.61877,1.04122,0.88388,0.9878,0.97659,0.6661,1.14606,0.59493,1.1119,0.0007064,0.0007064,0.0007064
51,1299.82,1.00387,0.62203,1.05126,0.9291,0.95883,0.98093,0.65436,1.19596,0.5947,1.13904,0.00068,0.00068,0.00068
52,1324.56,1.00021,0.63728,1.05124,0.88877,0.96341,0.97016,0.66275,1.15843,0.60138,1.107,0.0006536,0.0006536,0.0006536
53,1349.05,0.96527,0.61695,1.04043,0.90436,0.95122,0.97773,0.64527,1.22775,0.62268,1.13015,0.0006272,0.0006272,0.0006272
54,1374.71,0.95126,0.58854,1.02039,0.87636,0.97561,0.97313,0.67315,1.10669,0.61567,1.07965,0.0006008,0.0006008,0.0006008
55,1400.46,0.92898,0.58326,1.02744,0.89777,0.97561,0.97308,0.66479,1.1086,0.61134,1.08207,0.0005744,0.0005744,0.0005744
56,1424.98,0.9704,0.60318,1.03975,0.91485,0.96341,0.97993,0.66838,1.14865,0.58617,1.10872,0.000548,0.000548,0.000548
57,1449.31,0.93249,0.58822,1.02278,0.89875,0.97426,0.9795,0.62887,1.29707,0.617,1.18365,0.0005216,0.0005216,0.0005216
58,1473.49,0.92918,0.58195,1.02735,0.92899,0.95731,0.98537,0.68201,1.12032,0.55463,1.08662,0.0004952,0.0004952,0.0004952
59,1497.92,0.90997,0.56036,1.02432,0.91037,0.96341,0.98044,0.66281,1.1575,0.59909,1.10914,0.0004688,0.0004688,0.0004688
60,1523.42,0.92545,0.57383,1.03152,0.93821,0.96341,0.97709,0.66522,1.1524,0.56538,1.0955,0.0004424,0.0004424,0.0004424
61,1547.88,0.8944,0.55625,1.01724,0.90684,0.96341,0.97103,0.64741,1.15408,0.59408,1.09115,0.000416,0.000416,0.000416
62,1573.06,0.93936,0.58461,1.03143,0.90837,0.97561,0.97562,0.65485,1.2341,0.60128,1.13114,0.0003896,0.0003896,0.0003896
63,1597.8,0.91169,0.57278,1.01375,0.88558,0.97561,0.972,0.68336,1.08465,0.53313,1.08713,0.0003632,0.0003632,0.0003632
64,1622.09,0.90354,0.5564,1.0275,0.91886,0.96672,0.97359,0.68391,1.06836,0.53444,1.05962,0.0003368,0.0003368,0.0003368
65,1646.31,0.93466,0.58396,1.02018,0.89923,0.97561,0.97031,0.65261,1.16266,0.56679,1.09322,0.0003104,0.0003104,0.0003104
66,1668.91,0.80938,0.47855,0.97395,0.92341,0.95122,0.96973,0.66208,1.11714,0.52854,1.07153,0.000284,0.000284,0.000284
67,1691.08,0.81657,0.46511,0.98615,0.91565,0.95122,0.96408,0.6672,1.0848,0.53634,1.05567,0.0002576,0.0002576,0.0002576
68,1712.77,0.78344,0.44057,0.98022,0.94006,0.95629,0.97994,0.68406,1.08692,0.5161,1.07265,0.0002312,0.0002312,0.0002312
69,1734.65,0.78914,0.43481,0.97303,0.92756,0.97561,0.9805,0.68805,1.09104,0.52388,1.06323,0.0002048,0.0002048,0.0002048
70,1756.55,0.77852,0.42835,0.97405,0.94895,0.97561,0.98352,0.68012,1.12342,0.51834,1.0801,0.0001784,0.0001784,0.0001784
71,1778.67,0.79457,0.42244,0.97939,0.95087,0.97561,0.98113,0.6935,1.08041,0.51241,1.05388,0.000152,0.000152,0.000152
72,1800.58,0.76928,0.41738,0.97276,0.94944,0.96341,0.98332,0.69801,1.08721,0.50333,1.06071,0.0001256,0.0001256,0.0001256
73,1823.86,0.7692,0.40306,0.9686,0.95132,0.95335,0.98424,0.71,1.07141,0.49228,1.05536,9.92e-05,9.92e-05,9.92e-05
74,1848.88,0.75988,0.40751,0.96708,0.95445,0.96341,0.9825,0.70259,1.07548,0.49915,1.06199,7.28e-05,7.28e-05,7.28e-05
75,1870.89,0.75572,0.41518,0.97374,0.95151,0.97561,0.98316,0.69878,1.07526,0.49388,1.06169,4.64e-05,4.64e-05,4.64e-05
